entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
World Trade Center,0.015,0.012,0.016,0.010,0.009,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.007,0.004,0.005,0.005,0.002531
Dwight D. Eisenhower,0.008,0.005,0.008,0.006,0.005,0.007,0.005,0.006,0.005,0.006,0.006,0.006,0.005,0.009,0.006,0.010,0.002522
Interior Department,0.004,0.000,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002506
Thom Tillis,,,,,,,,,,,,,,,,,0.002327
Warren Buffett,0.007,0.006,0.004,0.004,0.005,0.006,0.005,0.007,0.029,0.005,0.007,0.004,0.007,0.011,0.011,0.005,0.002306
Bulgaria,0.009,0.008,0.007,0.007,0.007,0.005,0.005,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.002283
Seoul,0.004,0.004,0.005,0.005,0.003,0.005,0.005,0.004,0.005,0.005,0.004,0.005,0.004,0.006,0.006,0.006,0.002220
Somalia,0.008,0.006,0.005,0.008,0.005,0.006,0.005,0.007,0.026,0.004,0.008,0.005,0.003,0.005,0.004,0.004,0.002215
John Roberts,0.000,0.000,0.006,0.002,0.002,0.001,0.002,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002198
Arabian Peninsula,0.010,0.006,0.005,0.004,0.004,0.004,0.005,0.003,0.003,0.002,0.003,0.004,0.003,0.004,0.003,0.004,0.002163
Executive Order 13769,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.002,0.001,0.002155
Congo,0.009,0.008,0.006,0.008,0.006,0.005,0.005,0.005,0.006,0.005,0.005,0.007,0.005,0.006,0.005,0.005,0.002138
Aid,0.011,0.008,0.008,0.008,0.009,0.008,0.009,0.008,0.008,0.006,0.006,0.007,0.006,0.008,0.008,0.005,0.002119
Anti-abortion movements,0.007,0.006,0.004,0.004,0.003,0.003,0.005,0.003,0.004,0.002,0.002,0.003,0.002,0.002,0.003,0.007,0.002115
Yemen,0.005,0.004,0.004,0.003,0.002,0.003,0.007,0.004,0.005,0.004,0.004,0.028,0.006,0.000,0.005,0.006,0.002072
Voter turnout,0.000,0.004,0.000,0.001,0.002,0.001,0.000,0.001,0.001,0.000,0.001,0.001,0.000,0.001,0.001,0.001,0.002066
Neil Armstrong,,,,,,,,,,,,,,,,,0.002057
Palestinian Territories,0.012,0.003,0.012,0.003,0.004,0.006,0.005,0.004,0.003,0.004,0.002,0.004,0.002,0.004,0.003,0.003,0.001983
Amelia Earhart,,,,,,,,,,,,,,,,,0.001972
Public transportation,0.015,0.017,0.016,0.012,0.014,0.012,0.013,0.010,0.010,0.009,0.010,0.009,0.008,0.008,0.006,0.005,0.001959
Same-sex marriage,0.020,0.016,0.011,0.009,0.007,0.009,0.011,0.008,0.016,0.014,0.018,0.014,0.008,0.006,0.004,0.004,0.001953
Pope Francis,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.006,0.009,0.012,0.004,0.007,0.003,0.008,0.001932
West Point,0.007,0.008,0.010,0.008,0.006,0.005,0.007,0.006,0.006,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.001896
Articles of Confederation,0.009,0.003,0.003,0.003,0.003,0.002,0.003,0.005,0.005,0.004,0.004,0.005,0.005,0.003,0.005,0.004,0.001888
Treasury,0.023,0.019,0.020,0.016,0.021,0.024,0.013,0.012,0.014,0.012,0.011,0.012,0.008,0.011,0.014,0.008,0.001885
Wall Street,0.012,0.010,0.008,0.008,0.010,0.010,0.008,0.007,0.007,0.006,0.009,0.008,0.007,0.007,0.007,0.004,0.001871
Sudan,0.008,0.014,0.013,0.008,0.008,0.009,0.006,0.009,0.004,0.005,0.005,0.008,0.004,0.005,0.005,0.003,0.001860
Tunisia,0.007,0.004,0.005,0.002,0.003,0.003,0.005,0.024,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.002,0.001843
John McCain,0.005,0.003,0.008,0.022,0.000,0.013,0.012,0.007,0.007,0.004,0.005,0.004,0.005,0.006,0.008,0.015,0.001824
ROTC,0.006,0.003,0.007,0.004,0.005,0.007,0.006,0.010,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.001805
John Boehner,0.000,0.000,0.002,0.001,0.000,0.002,0.008,0.000,0.031,0.000,0.000,0.000,0.008,0.002,0.001,0.003,0.001755
Palestinian,0.004,0.004,0.004,0.004,0.004,0.002,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001723
Overtime pay,0.013,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.005,0.004,0.005,0.003,0.001712
Usama bin Laden,0.010,0.009,0.015,0.009,0.008,0.005,0.007,0.003,0.012,0.017,0.005,0.006,0.008,0.004,0.003,0.004,0.001705
Lobbying,0.009,0.006,0.008,0.008,0.007,0.005,0.009,0.006,0.007,0.004,0.004,0.005,0.007,0.009,0.004,0.004,0.001701
Blacksburg,0.005,0.004,0.005,0.007,0.007,0.006,0.005,0.007,0.006,0.006,0.004,0.004,0.005,0.007,0.005,0.003,0.001697
Hydraulic fracturing,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.002,0.009,0.009,0.009,0.008,0.004,0.005,0.003,0.003,0.001691
Cape Town,0.005,0.003,0.003,0.004,0.004,0.005,0.007,0.003,0.003,0.003,0.003,0.004,0.003,0.005,0.009,0.003,0.001667
Department of Justice,0.014,0.017,0.013,0.013,0.009,0.011,0.009,0.007,0.007,0.008,0.006,0.005,0.005,0.007,0.007,0.003,0.001648
Pflugerville,0.000,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.004,0.003,0.001632
American Dream,0.005,0.007,0.003,0.004,0.003,0.005,0.004,0.004,0.004,0.003,0.004,0.004,0.003,0.004,0.004,0.003,0.001605
Legality of cannabis,0.006,0.004,0.004,0.003,0.004,0.015,0.005,0.005,0.004,0.006,0.011,0.006,0.005,0.006,0.006,0.008,0.001605
Siemens,0.000,0.020,0.014,0.016,0.015,0.010,0.013,0.010,0.014,0.010,0.008,0.008,0.006,0.007,0.006,0.003,0.001591
Damascus,0.005,0.003,0.002,0.002,0.003,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.004,0.001567
Elkhart,0.008,0.004,0.005,0.006,0.005,0.005,0.006,0.005,0.006,0.005,0.006,0.006,0.007,0.009,0.006,0.003,0.001544
Mattis,0.000,0.005,0.000,0.000,0.001,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.000,0.005,0.011,0.007,0.001534
Interstate Highway System,0.005,0.004,0.003,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.009,0.003,0.003,0.003,0.003,0.002,0.001512
Military service,0.006,0.003,0.003,0.002,0.003,0.003,0.004,0.003,0.002,0.003,0.003,0.004,0.003,0.003,0.002,0.004,0.001507
Tax Cuts,0.007,0.007,0.011,0.005,0.012,0.013,0.007,0.004,0.003,0.001,0.001,0.002,0.001,0.002,0.016,0.006,0.001487
Atlantic Ocean,0.005,0.006,0.003,0.003,0.002,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.004,0.003,0.001470
Cairo,0.005,0.007,0.006,0.003,0.005,0.006,0.004,0.008,0.004,0.002,0.002,0.003,0.002,0.002,0.003,0.003,0.001451
Military budget,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.002,0.001,0.002,0.001,0.001,0.002,0.006,0.002,0.004,0.001427
Euthanasia,0.010,0.010,0.006,0.005,0.005,0.005,0.004,0.003,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.001404
Zimbabwe,0.009,0.011,0.009,0.006,0.005,0.006,0.006,0.003,0.004,0.004,0.005,0.006,0.004,0.004,0.003,0.003,0.001403
Pentagon,0.007,0.007,0.006,0.005,0.004,0.004,0.003,0.004,0.005,0.004,0.003,0.004,0.005,0.004,0.005,0.004,0.001379
Libya,0.009,0.004,0.006,0.003,0.003,0.006,0.016,0.003,0.009,0.004,0.004,0.003,0.003,0.003,0.004,0.002,0.001360
Fannie Mae,0.012,0.011,0.006,0.008,0.010,0.012,0.009,0.013,0.011,0.010,0.007,0.007,0.006,0.009,0.008,0.004,0.001343
Education Freedom Scholarships and Opportunity Act,,,,,,,,,,,,,,,,,0.001323
Voice of America,0.004,0.003,0.004,0.004,0.002,0.003,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.001309
FCC,0.020,0.017,0.013,0.009,0.010,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.006,0.003,0.001282
National Security Agency,0.005,0.008,0.016,0.007,0.006,0.006,0.004,0.009,0.005,0.004,0.015,0.006,0.005,0.004,0.004,0.003,0.001276
Normandy,0.005,0.004,0.003,0.003,0.002,0.002,0.004,0.001,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.004,0.001261
Space exploration,0.007,0.004,0.003,0.003,0.002,0.002,0.001,0.002,0.001,0.002,0.001,0.001,0.002,0.002,0.001,0.002,0.001235
Golden Gate Bridge,0.004,0.005,0.003,0.004,0.004,0.002,0.004,0.003,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.001225
Yorktown,0.000,0.006,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.001,0.001224
North Africa,0.000,0.004,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.002,0.001205
F-35,0.000,0.000,0.000,0.001,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.003,0.002,0.005,0.002,0.002,0.001188
Court of Appeals,0.000,0.008,0.005,0.005,0.005,0.002,0.004,0.004,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.002,0.001187
Women's health,0.000,0.005,0.004,0.002,0.003,0.002,0.001,0.002,0.003,0.002,0.003,0.002,0.007,0.007,0.006,0.003,0.001184
Automotive Industry,0.013,0.004,0.008,0.006,0.006,0.008,0.005,0.004,0.007,0.004,0.004,0.004,0.003,0.004,0.004,0.003,0.001177
Corporate tax,0.005,0.005,0.006,0.004,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.004,0.005,0.002,0.001174
Mali,0.009,0.008,0.004,0.005,0.003,0.004,0.005,0.002,0.003,0.007,0.003,0.004,0.003,0.004,0.003,0.003,0.001163
George S. Patton,,,,,,,,,,,,,,,,,0.001153
Elyria,0.005,0.004,0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.004,0.004,0.003,0.002,0.001135
coal mining (industry),0.000,0.005,0.007,0.003,0.002,0.002,0.002,0.003,0.004,0.002,0.002,0.002,0.002,0.004,0.003,0.002,0.001121
Justin Trudeau,0.000,0.000,0.002,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.002,0.000,0.002,0.002,0.001111
COBRA,0.007,0.009,0.007,0.006,0.008,0.019,0.011,0.006,0.005,0.003,0.003,0.003,0.003,0.004,0.003,0.002,0.001109
Applause,0.000,0.000,0.000,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001107
Jakarta,0.007,0.008,0.004,0.002,0.004,0.002,0.003,0.002,0.001,0.002,0.002,0.005,0.003,0.002,0.002,0.002,0.001107
Gerrymandering,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.004,0.003,0.002,0.001102
Southeast Asia,0.005,0.006,0.004,0.003,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.004,0.003,0.003,0.002,0.002,0.001102
Belarus,0.000,0.003,0.002,0.004,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.001101
Selma,0.000,0.000,0.000,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.002,0.006,0.002,0.003,0.003,0.002,0.001088
Keystone,0.007,0.003,0.005,0.004,0.004,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.001078
John Walsh,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.001076
Baghdad,0.009,0.006,0.004,0.007,0.003,0.002,0.003,0.003,0.002,0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.001073
West Africa,0.009,0.006,0.005,0.004,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.001043
Rubio,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.004,0.000,0.004,0.005,0.017,0.004,0.006,0.007,0.001035
P.S.,0.000,0.004,0.002,0.003,0.002,0.002,0.001,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001016
Federal Convention,0.004,0.003,0.004,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.003,0.003,0.002,0.003,0.002,0.001013
Bahrain,0.007,0.003,0.006,0.004,0.004,0.003,0.006,0.004,0.003,0.003,0.003,0.004,0.005,0.002,0.002,0.002,0.001008
Doha,0.000,0.000,0.002,0.002,0.001,0.002,0.003,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.001,0.002,0.001002
Hoover Dam,0.005,0.000,0.004,0.003,0.003,0.002,0.004,0.004,0.004,0.002,0.003,0.003,0.003,0.003,0.003,0.002,0.000994
Affirmative action,0.010,0.008,0.008,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.000977
Galesburg,0.000,0.000,0.003,0.002,0.001,0.002,0.003,0.002,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.000976
California Institute of Technology,0.009,0.006,0.005,0.005,0.003,0.006,0.006,0.005,0.003,0.003,0.002,0.003,0.004,0.003,0.002,0.002,0.000966
Abortion-rights movement,0.004,0.004,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.000962
Edward Snowden,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.003,0.002,0.004,0.001,0.002,0.000958
Shi'a,0.004,0.007,0.004,0.007,0.003,0.002,0.003,0.004,0.002,0.003,0.001,0.005,0.004,0.002,0.002,0.002,0.000949
Gulf Coast,0.008,0.005,0.007,0.004,0.006,0.004,0.003,0.004,0.005,0.004,0.006,0.005,0.004,0.004,0.004,0.003,0.000939
Saddam Hussein,0.019,0.011,0.010,0.020,0.007,0.004,0.004,0.004,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.000938
United States Army Special Forces,,,,,,,,,,,,,,,,,0.000934
Iraq War,0.023,0.024,0.025,0.026,0.018,0.010,0.007,0.005,0.006,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.000921
National security,0.007,0.003,0.003,0.003,0.003,0.002,0.004,0.002,0.001,0.001,0.001,0.002,0.002,0.003,0.002,0.002,0.000918
New London,0.000,0.005,0.005,0.005,0.004,0.005,0.004,0.004,0.004,0.003,0.003,0.004,0.004,0.003,0.003,0.002,0.000906
Freedom of religion,0.000,0.000,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.000901
gun violence,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.005,0.001,0.001,0.003,0.002,0.001,0.002,0.000893
Secretary of Health and Human Services,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000886
Oak Creek,0.000,0.000,0.003,0.001,0.001,0.002,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.002,0.002,0.000806
Central Piedmont Community College,0.000,0.004,0.002,0.003,0.002,0.002,0.002,0.003,0.004,0.002,0.004,0.003,0.003,0.002,0.002,0.001,0.000792
North Miami,0.000,0.003,0.002,0.003,0.002,0.001,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.002,0.000792
Basic income,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000783
Cheney,0.007,0.005,0.004,0.010,0.007,0.003,0.001,0.002,0.002,0.003,0.002,0.002,0.001,0.001,0.001,0.005,0.000782
Al Qaida,0.007,0.004,0.007,0.004,0.005,0.003,0.004,0.002,0.002,0.003,0.002,0.003,0.002,0.001,0.001,0.001,0.000778
Veterans Day,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.005,0.004,0.002,0.002,0.003,0.002,0.001,0.002,0.002,0.000768
Taliban,0.010,0.003,0.003,0.001,0.002,0.004,0.003,0.001,0.003,0.002,0.002,0.003,0.002,0.002,0.003,0.006,0.000750
Star of David,0.000,0.004,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.001,0.005,0.002,0.002,0.002,0.002,0.001,0.000745
Body worn video,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.002,0.000731
Master Lock,0.004,0.003,0.003,0.002,0.001,0.002,0.002,0.002,0.008,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.000729
South Asia,0.004,0.004,0.004,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.000721
Tehran,0.004,0.000,0.003,0.001,0.002,0.002,0.002,0.003,0.003,0.004,0.005,0.006,0.004,0.001,0.002,0.002,0.000710
Kurds,0.004,0.004,0.002,0.002,0.001,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.001,0.000707
Army Ranger,0.000,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.006,0.003,0.002,0.002,0.002,0.002,0.000702
MS-13,0.000,0.000,0.010,0.002,0.003,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.087,0.112,0.000681
trade deficit,0.000,0.003,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.000677
Newtown,0.000,0.004,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.003,0.003,0.002,0.003,0.002,0.002,0.001,0.000664
Department of Energy,0.007,0.013,0.009,0.003,0.005,0.007,0.005,0.005,0.003,0.003,0.002,0.003,0.002,0.002,0.001,0.002,0.000635
Sunni,0.000,0.007,0.003,0.007,0.001,0.002,0.001,0.003,0.002,0.002,0.001,0.003,0.003,0.002,0.001,0.002,0.000616
Sputnik,0.000,0.000,0.000,0.002,0.001,0.001,0.001,0.011,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000610
Guinea,0.000,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.004,0.002,0.002,0.002,0.001,0.000597
Great Plains,0.005,0.007,0.003,0.003,0.003,0.001,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.000594
Government spending,0.005,0.000,0.002,0.002,0.003,0.006,0.005,0.008,0.003,0.003,0.002,0.001,0.003,0.003,0.002,0.002,0.000592
Paris Agreement,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000586
Syrian civil war,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0.001,0.000582
Alexander Graham Bell,0.008,0.004,0.005,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.000578
Bob Dole,0.000,0.003,0.003,0.002,0.005,0.000,0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.000,0.001,0.002,0.000576
PATRIOT Act,0.056,0.008,0.029,0.005,0.007,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.000551
Baby Einstein Company,0.000,0.003,0.003,0.021,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.001,0.000549
Gender identity,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.000547
Federal Tax Code,0.006,0.005,0.005,0.003,0.002,0.003,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.000545
Campaign finance,0.005,0.003,0.004,0.002,0.003,0.002,0.009,0.002,0.002,0.001,0.002,0.001,0.002,0.001,0.002,0.001,0.000530
Steve Scalise,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.015,0.001,0.000525
World Trade Organization,0.005,0.006,0.004,0.003,0.003,0.003,0.002,0.003,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.000524
Eminent domain,0.000,0.004,0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.000514
War in Afghanistan,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.000501
Dream act,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.005,0.004,0.003,0.002,0.002,0.002,0.004,0.017,0.002,0.000497
Gitmo,0.004,0.005,0.003,0.003,0.003,0.010,0.003,0.002,0.002,0.002,0.006,0.020,0.008,0.001,0.000,0.001,0.000492
Freddie Mac,0.007,0.006,0.003,0.003,0.006,0.008,0.004,0.005,0.007,0.004,0.003,0.003,0.002,0.002,0.002,0.001,0.000484
Social programs in the United States,0.005,0.003,0.004,0.003,0.002,0.005,0.004,0.010,0.006,0.005,0.005,0.004,0.004,0.005,0.004,0.004,0.000468
Antonin Scalia,0.000,0.000,0.000,0.002,0.000,0.002,0.001,0.002,0.001,0.002,0.001,0.001,0.002,0.007,0.001,0.001,0.000468
Free trade,0.004,0.004,0.002,0.002,0.002,0.002,0.002,0.003,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.000463
Humvee,0.000,0.000,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.000462
Political corruption,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.000460
Persian Gulf,0.000,0.000,0.000,0.002,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.000,0.000459
Immigration to the United States,0.005,0.005,0.007,0.002,0.004,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.000454
No Child Left Behind Act,0.024,0.011,0.007,0.011,0.012,0.005,0.005,0.007,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.000442
No Child Left Behind Act,0.024,0.011,0.007,0.011,0.012,0.005,0.005,0.007,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.000442
Solitary confinement,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.000439
Violence Against Women's Act,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.024,0.001,0.000,0.000,0.001,0.001,0.000,0.000433
Coretta Scott King,0.004,0.003,0.110,0.005,0.003,0.002,0.001,0.001,0.001,0.003,0.001,0.004,0.001,0.001,0.001,0.001,0.000431
Riyadh,0.000,0.003,0.000,0.002,0.001,0.001,0.006,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.000422
Voting Rights Act,0.004,0.000,0.000,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.000422
Single-payer healthcare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000413
Qadhafi,0.000,0.000,0.002,0.000,0.001,0.001,0.001,0.001,0.006,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.000408
Superstorm Sandy,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.003,0.002,0.001,0.001,0.001,0.001,0.000404
Edward Kennedy,0.020,0.006,0.007,0.004,0.000,0.004,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.008,0.001,0.000402
Jill Biden,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.002,0.007,0.007,0.004,0.003,0.000,0.000,0.000,0.000379
Softbank,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.001,0.001,0.000373
Right to work,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.004,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000368
Net neutrality,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.002,0.000,0.000,0.003,0.004,0.000,0.002,0.008,0.001,0.000353
Term limits in the United States,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000344
Sam Alito,0.000,0.000,0.047,0.000,0.001,0.001,0.041,0.002,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.002,0.000334
"Thomas D'Alesandro, Jr.",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000329
Silver Star,0.000,0.000,0.000,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000327
Dikembe Mutombo,0.000,0.000,0.002,0.016,0.000,0.001,0.000,0.001,0.001,0.008,0.001,0.001,0.001,0.001,0.001,0.000,0.000325
West Bank,0.000,0.000,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.001,0.001,0.001,0.000321
Hurricane Harvey,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000321
Student loans in the United States,0.000,0.000,0.000,0.001,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000318
Voting age,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000307
Diversity Immigrant Visa,0.005,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.004,0.000,0.000303
Tax Reform,0.004,0.003,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.013,0.003,0.000292
Sandra Day O'Connor,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000291
Electoral fraud,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.001,0.000285
Tripoli,0.000,0.000,0.000,0.000,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.000275
Omaha Beach,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000270
Gabby Giffords,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.001,0.005,0.003,0.001,0.001,0.001,0.000268
