entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
Social Security,0.007,0.017,0.004,0.005,0.010,0.009,0.012,0.009,0.008,0.007,0.011,0.009,0.010,0.009,0.012,0.041,0.022583
Social Security,0.089,0.122,0.080,0.082,0.081,0.069,0.058,0.070,0.073,0.067,0.076,0.077,0.070,0.000,0.000,0.041,0.022583
Social security,0.024,0.083,0.022,0.021,0.024,0.023,0.023,0.033,0.029,0.026,0.029,0.038,0.033,0.000,0.000,0.041,0.022583
Abu Bakr al-Baghdadi,,,,,,,,,,,,,,,,,0.021503
Iran,0.035,0.041,0.043,0.032,0.024,0.025,0.030,0.023,0.044,0.029,0.034,0.041,0.125,0.022,0.020,0.025,0.021193
Mental health,0.000,0.033,0.034,0.000,0.000,0.000,0.029,0.030,0.029,0.030,0.031,0.032,0.031,0.000,0.000,0.036,0.020375
Stock Market,0.035,0.025,0.025,0.021,0.000,0.046,0.022,0.022,0.023,0.020,0.028,0.024,0.000,0.047,0.066,0.025,0.020126
Manufacturing,0.160,0.127,0.000,0.000,0.000,0.000,0.000,0.065,0.064,0.056,0.058,0.054,0.053,0.058,0.054,0.045,0.019980
Mazda,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019822
HIV,0.000,0.050,0.049,0.037,0.039,0.000,0.028,0.025,0.024,0.022,0.022,0.019,0.021,0.019,0.017,0.040,0.019651
Colombia,0.000,0.039,0.035,0.000,0.037,0.000,0.107,0.000,0.027,0.031,0.000,0.036,0.038,0.000,0.000,0.038,0.019548
Cuba,0.000,0.033,0.032,0.000,0.026,0.000,0.026,0.025,0.026,0.024,0.025,0.060,0.035,0.000,0.034,0.035,0.019444
Income tax,0.052,0.073,0.000,0.045,0.000,0.000,0.050,0.000,0.000,0.000,0.042,0.035,0.000,0.000,0.000,0.030,0.018574
Israelis,0.000,0.048,0.067,0.048,0.042,0.042,0.000,0.000,0.036,0.031,0.033,0.041,0.000,0.035,0.037,0.054,0.018554
Veterans,0.000,0.022,0.030,0.027,0.027,0.028,0.028,0.000,0.031,0.028,0.032,0.037,0.035,0.000,0.000,0.045,0.018246
Medicare,0.039,0.000,0.059,0.040,0.045,0.044,0.049,0.048,0.046,0.042,0.046,0.050,0.049,0.000,0.000,0.027,0.017655
Brazil,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.058,0.000,0.000,0.000,0.036,0.017072
Arabic,0.020,0.016,0.027,0.022,0.029,0.000,0.000,0.031,0.027,0.023,0.023,0.026,0.023,0.000,0.000,0.022,0.016920
Sanctuary cities,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.001,0.016746
Minimum wage,0.010,0.011,0.011,0.000,0.019,0.021,0.019,0.016,0.019,0.120,0.112,0.040,0.031,0.000,0.000,0.032,0.015788
opioids,0.000,0.003,0.004,0.002,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.006,0.006,0.011,0.023,0.018,0.015316
Veteran Affairs,0.026,0.026,0.030,0.031,0.033,0.038,0.041,0.043,0.040,0.038,0.039,0.043,0.035,0.040,0.046,0.026,0.015083
Drug Overdose,0.007,0.006,0.009,0.007,0.010,0.012,0.008,0.014,0.013,0.011,0.012,0.012,0.015,0.014,0.016,0.020,0.015003
Islam,0.000,0.000,0.043,0.026,0.026,0.000,0.030,0.024,0.024,0.021,0.022,0.040,0.028,0.026,0.000,0.020,0.014983
Marines,0.000,0.000,0.000,0.061,0.000,0.061,0.000,0.058,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.014952
Whistleblower,0.000,0.004,0.003,0.002,0.001,0.003,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.014855
Medicaid,0.018,0.029,0.034,0.029,0.029,0.000,0.034,0.036,0.036,0.000,0.042,0.049,0.000,0.044,0.000,0.026,0.013549
Democracy,0.030,0.026,0.027,0.018,0.021,0.019,0.018,0.015,0.016,0.016,0.018,0.018,0.022,0.000,0.000,0.000,0.013491
Property taxes,0.000,0.031,0.032,0.000,0.000,0.000,0.000,0.029,0.030,0.028,0.031,0.028,0.023,0.000,0.000,0.023,0.013117
Brett Kavanaugh,,,,,,,,,,,,,,,,,0.012872
hurricane,0.019,0.028,0.000,0.000,0.026,0.000,0.024,0.023,0.019,0.027,0.020,0.017,0.020,0.000,0.031,0.021,0.012843
Harriet Tubman,,,,,,,,,,,,,,,,,0.012841
Peru,0.000,0.033,0.031,0.000,0.036,0.000,0.000,0.028,0.027,0.026,0.025,0.028,0.024,0.000,0.000,0.022,0.012825
Opportunity zone,,,,,,,,,,,,,,,,,0.012717
Thailand,0.000,0.000,0.035,0.000,0.000,0.025,0.027,0.024,0.024,0.026,0.029,0.028,0.026,0.000,0.000,0.028,0.012615
Egypt,0.000,0.051,0.044,0.000,0.000,0.037,0.000,0.000,0.000,0.024,0.028,0.033,0.028,0.000,0.000,0.022,0.012574
Welfare,0.000,0.000,0.002,0.003,0.002,0.003,0.004,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.012135
South Korea,0.029,0.023,0.018,0.018,0.017,0.021,0.021,0.024,0.019,0.023,0.030,0.020,0.021,0.000,0.000,0.020,0.012118
Martin Luther King Jr.,,,,,,,,,,,,,,,,,0.012011
NOAA,0.031,0.028,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.000,0.019,0.026,0.011626
ISIS,0.013,0.005,0.005,0.005,0.005,0.003,0.003,0.004,0.004,0.003,0.005,0.000,0.000,0.017,0.011,0.012,0.011615
Pensions,0.023,0.025,0.022,0.023,0.019,0.020,0.020,0.021,0.019,0.016,0.020,0.018,0.017,0.018,0.020,0.014,0.011559
Guatemala,,,,,,,,,,,,,,,,,0.011494
Mexico-United States barrier,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.017,0.011292
Muslims,0.020,0.020,0.038,0.025,0.029,0.020,0.021,0.022,0.021,0.022,0.019,0.037,0.035,0.035,0.019,0.030,0.011143
NASA,0.000,0.000,0.000,0.000,0.000,0.000,0.034,0.043,0.029,0.024,0.022,0.038,0.031,0.000,0.000,0.022,0.010917
Federal Government,0.000,0.039,0.031,0.028,0.025,0.027,0.019,0.036,0.017,0.018,0.021,0.018,0.017,0.014,0.015,0.018,0.010898
Nicolás Maduro,,,,,,,,,,,,,,,,,0.010873
Charter schools,0.012,0.011,0.015,0.013,0.010,0.017,0.017,0.018,0.016,0.014,0.015,0.015,0.014,0.015,0.014,0.011,0.010492
National Debt of the United States,0.009,0.008,0.008,0.005,0.005,0.007,0.011,0.013,0.015,0.007,0.007,0.010,0.011,0.008,0.005,0.011,0.010465
C-SPAN,0.011,0.016,0.031,0.021,0.011,0.016,0.018,0.016,0.011,0.010,0.010,0.007,0.006,0.007,0.009,0.021,0.010389
Second Amendment,0.000,0.000,0.005,0.003,0.003,0.003,0.002,0.003,0.003,0.011,0.004,0.003,0.009,0.003,0.007,0.003,0.010275
FBI,0.030,0.031,0.024,0.021,0.026,0.025,0.022,0.022,0.020,0.021,0.019,0.017,0.020,0.018,0.000,0.025,0.010182
First Lady,0.005,0.004,0.002,0.002,0.002,0.003,0.001,0.002,0.003,0.004,0.003,0.003,0.008,0.006,0.008,0.002,0.010085
First Lady,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.002,0.010085
Pakistani,0.037,0.026,0.025,0.016,0.020,0.020,0.018,0.017,0.018,0.019,0.018,0.034,0.020,0.018,0.018,0.016,0.009848
Indonesia,0.024,0.019,0.016,0.013,0.016,0.011,0.014,0.013,0.012,0.012,0.016,0.036,0.014,0.014,0.011,0.010,0.009527
El Salvador,0.015,0.019,0.016,0.011,0.015,0.025,0.027,0.015,0.020,0.016,0.020,0.018,0.018,0.000,0.018,0.024,0.009429
Honduras,,,,,,,,,,,,,,,,,0.009351
Abraham Lincoln,0.000,0.000,0.000,0.026,0.027,0.000,0.026,0.025,0.031,0.000,0.022,0.025,0.024,0.000,0.000,0.022,0.009320
Syria,0.007,0.010,0.008,0.007,0.005,0.004,0.008,0.005,0.010,0.012,0.014,0.011,0.022,0.019,0.012,0.012,0.009256
Ukraine,0.019,0.015,0.011,0.011,0.013,0.009,0.012,0.009,0.009,0.010,0.034,0.025,0.014,0.013,0.012,0.011,0.008722
Norway,0.023,0.018,0.021,0.013,0.013,0.012,0.015,0.017,0.019,0.012,0.017,0.014,0.015,0.013,0.019,0.015,0.008715
Marine,0.000,0.000,0.002,0.001,0.002,0.002,0.002,0.001,0.002,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.008695
Nuclear power,0.028,0.022,0.020,0.017,0.018,0.019,0.020,0.014,0.013,0.016,0.012,0.015,0.012,0.013,0.013,0.010,0.008025
Chile,0.000,0.031,0.035,0.023,0.028,0.000,0.000,0.024,0.020,0.018,0.019,0.019,0.019,0.018,0.017,0.015,0.007757
Iraq,0.099,0.155,0.089,0.115,0.073,0.048,0.035,0.031,0.029,0.018,0.018,0.023,0.018,0.016,0.014,0.014,0.007609
Poland,0.024,0.029,0.023,0.018,0.015,0.019,0.029,0.016,0.015,0.014,0.014,0.016,0.016,0.015,0.015,0.014,0.007296
Belgium,0.028,0.021,0.017,0.014,0.016,0.014,0.016,0.013,0.013,0.015,0.012,0.014,0.012,0.013,0.013,0.013,0.007118
Capital punishment,0.028,0.000,0.031,0.022,0.016,0.021,0.017,0.017,0.015,0.016,0.017,0.017,0.013,0.014,0.013,0.016,0.007105
Panama,0.029,0.025,0.019,0.020,0.021,0.020,0.026,0.019,0.016,0.016,0.017,0.017,0.014,0.015,0.013,0.015,0.006924
Haiti,0.012,0.018,0.019,0.013,0.014,0.015,0.269,0.027,0.020,0.019,0.016,0.016,0.016,0.018,0.019,0.016,0.006870
Afghanistan,0.021,0.021,0.016,0.015,0.017,0.019,0.030,0.026,0.021,0.020,0.017,0.014,0.012,0.011,0.014,0.019,0.006804
